"","name","mass","eff","diet","order","family","habitat","fac"
"228","Lemniscomys_barbarus",0.0262,0.8036622620512,2,"Rodentia","Muridae",1,3
"229","Lemur_catta",2.9,0.873250143262247,2,"Primates","Lemuridae",2,2
"230","Leontopithecus_rosalia",0.5355,0.840665524802419,3,"Primates","Callitrichidae",2,2
"231","Leopardus_pardalis",11.9001,0.808893520456709,1,"Carnivora","Felidae",1,3
"232","Leopoldamys_sabanus",0.3675,0.775884780380611,3,"Rodentia","Muridae",1,2
"233","Lepilemur_ruficaudatus",0.7,0.730094235346162,2,"Primates","Megaladapidae",2,2
"234","Leporillus_conditor",0.35,0.742585858978688,2,"Rodentia","Muridae",3,3
"235","Leptailurus_serval",12,0.854298974084459,1,"Carnivora","Felidae",4,3
"236","Lepus_alleni",3.685,0.785849392049601,2,"Lagomorpha","Leporidae",4,3
"237","Lepus_americanus",1.71,0.649229710668811,2,"Lagomorpha","Leporidae",4,3
"238","Lepus_arcticus",4.405,0.76072103062923,2,"Lagomorpha","Leporidae",4,3
"239","Lepus_californicus",2.4225,0.789940012137103,2,"Lagomorpha","Leporidae",4,3
"240","Lepus_europaeus",3.74,0.736680854605554,2,"Lagomorpha","Leporidae",4,3
"241","Lepus_townsendii",1.555,0.745301653047275,2,"Lagomorpha","Leporidae",4,3
"242","Lestoros_inca",0.0211,0.77305909777964,1,"Paucituberculata","Caenolestidae",1,3
"243","Limnogale_mergulus",0.0786,0.60248911169059,1,"Insectivora","Tenrecidae",1,3
"244","Liomys_pictus",0.04,0.677835069323716,2,"Rodentia","Heteromyidae",1,1
"245","Lophocebus_albigena",7.6901,0.865421836500034,2,"Primates","Cercopithecidae",2,2
"246","Loris_tardigradus",0.22765,0.737502386047403,1,"Primates","Loridae",2,2
"247","Loxodonta_africana",3940.0343,0.981667384846908,2,"Proboscidea","Elephantidae",4,3
"248","Lutreolina_crassicaudata",0.5373,0.681842201694628,1,"Didelphimorphia","Didelphidae",2,2
"249","Lycaon_pictus",22.0501,0.86578346077025,1,"Carnivora","Canidae",4,3
"250","Lynx_canadensis",9.3732,0.848616302086194,1,"Carnivora","Felidae",4,3
"251","Macaca_assamensis",12,0.887040469837362,2,"Primates","Cercopithecidae",2,2
"252","Macaca_fascicularis",3.9915,0.871424719781327,2,"Primates","Cercopithecidae",2,2
"253","Macropus_agilis",15,0.853258738325557,2,"Diprotodontia","Macropodidae",4,3
"254","Macropus_antilopinus",27.25,0.876715086834722,2,"Diprotodontia","Macropodidae",3,3
"255","Macropus_eugenii",6.5,0.806034858260389,2,"Diprotodontia","Macropodidae",1,3
"256","Macropus_irma",8,0.873166353526961,2,"Diprotodontia","Macropodidae",1,3
"257","Macroscelides_proboscideus",0.0382,0.796012993520054,1,"Macroscelidea","Macroscelididae",3,3
"258","Macrotis_lagotis",1.35,0.806090372008035,2,"Peramelemorphia","Peramelidae",3,1
"259","Madoqua_kirkii",5.3001,0.844299851864206,2,"Artiodactyla","Bovidae",4,3
"260","Madoqua_piacentinii",2.5,0.86508389914718,2,"Artiodactyla","Bovidae",4,3
"261","Madoqua_saltiana",3.25,0.899136653723158,2,"Artiodactyla","Bovidae",4,3
"262","Mandrillus_leucophaeus",15,0.950659265029491,3,"Primates","Cercopithecidae",1,3
"263","Marmosa_lepida",0.014,0.760402859188642,1,"Didelphimorphia","Didelphidae",2,2
"264","Marmosops_parvidens",0.015,0.723351888066537,1,"Didelphimorphia","Didelphidae",2,2
"265","Marmota_monax",3.8017,0.715203250082026,2,"Rodentia","Sciuridae",4,1
"266","Martes_flavigula",1.8425,0.803589829002099,1,"Carnivora","Mustelidae",2,2
"267","Mastomys_hildebrandtii",0.0621,0.793175269837053,3,"Rodentia","Muridae",1,1
"268","Maxomys_rajah",0.15325,0.788254299953978,3,"Rodentia","Muridae",1,1
"269","Mazama_americana",22.7997,0.852166661734372,2,"Artiodactyla","Cervidae",1,3
"270","Melanomys_caliginosus",0.041,0.713787113759546,3,"Rodentia","Muridae",1,1
"271","Meles_meles",13,0.698043886777642,1,"Carnivora","Mustelidae",1,1
"272","Mellivora_capensis",8.5,0.734122389763277,1,"Carnivora","Mustelidae",4,1
"273","Melogale_orientalis",2,0.655593752434295,1,"Carnivora","Mustelidae",1,1
"274","Melomys_burtoni",0.0685,0.732978979422175,2,"Rodentia","Muridae",4,3
"275","Melomys_cervinipes",0.078,0.818144905636913,2,"Rodentia","Muridae",1,3
"276","Melursus_ursinus",93.13,0.820619148473391,1,"Carnivora","Ursidae",4,3
"277","Mephitis_mephitis",2.085,0.658517783052344,1,"Carnivora","Mustelidae",1,3
"278","Meriones_crassus",0.0699,0.765344216630591,3,"Rodentia","Muridae",3,1
"279","Mesembriomys_gouldii",0.7165,0.723398534298527,3,"Rodentia","Muridae",1,2
"280","Mesocricetus_brandti",0.198,0.642874323910376,3,"Rodentia","Muridae",5,1
"281","Metachirus_nudicaudatus",0.375,0.737096128510958,3,"Didelphimorphia","Didelphidae",1,2
"282","Microcebus_murinus",0.069,0.778689625290931,3,"Primates","Cheirogaleidae",2,2
"283","Microdipodops_megacephalus",0.0105,0.658919304428251,2,"Rodentia","Heteromyidae",3,1
"284","Microgale_cowani",0.0138,0.719094938469947,1,"Insectivora","Tenrecidae",1,3
"285","Micromys_minutus",0.006,0.743995843558483,3,"Rodentia","Muridae",4,2
"286","Microsciurus_alfari",0.0875,0.749764147899174,2,"Rodentia","Sciuridae",2,2
"287","Microtus_agrestis",0.0425,0.780072317174741,2,"Rodentia","Muridae",1,1
"288","Microtus_pennsylvanicus",0.0368,0.639907121895793,2,"Rodentia","Muridae",4,1
"289","Microtus_pinetorum",0.0263,0.646864140093826,2,"Rodentia","Muridae",1,1
"290","Monodelphis_adusta",0.035,0.659930192885257,3,"Didelphimorphia","Didelphidae",2,2
"291","Monodelphis_brevicaudata",0.0696,0.714847543631838,3,"Didelphimorphia","Didelphidae",2,2
"292","Moschiola_meminna",2.93815,0.78659854050395,2,"Artiodactyla","Tragulidae",1,3
"293","Moschus_chrysogaster",14.5,0.843236792558659,2,"Artiodactyla","Moschidae",5,3
"294","Muntiacus_muntjak",14,0.868217145463617,2,"Artiodactyla","Cervidae",1,3
"295","Mus_musculus",0.0176667,0.631161431540645,3,"Rodentia","Muridae",4,1
"296","Mustela_eversmannii",1.35,0.726868593422407,1,"Carnivora","Mustelidae",4,1
"297","Mustela_nivalis",0.1039,0.741637473687637,1,"Carnivora","Mustelidae",1,1
"298","Myoprocta_acouchy",0.6,0.78485093338066,2,"Rodentia","Dasyproctidae",1,1
