"","name","mass","eff","diet","order","family","habitat","fac"
"268","Maxomys_rajah",0.15325,0.652740116030385,3,"Rodentia","Muridae",1,1
"269","Mazama_americana",22.7997,0.873099522752436,2,"Artiodactyla","Cervidae",1,3
"270","Melanomys_caliginosus",0.041,0.604694137113481,3,"Rodentia","Muridae",1,1
"271","Meles_meles",13,0.715022884158664,1,"Carnivora","Mustelidae",1,1
"272","Mellivora_capensis",8.5,0.781600764851142,1,"Carnivora","Mustelidae",4,1
"273","Melogale_orientalis",2,0.611878872529365,1,"Carnivora","Mustelidae",1,1
"274","Melomys_burtoni",0.0685,0.568291076275107,2,"Rodentia","Muridae",4,3
"275","Melomys_cervinipes",0.078,0.623320353782193,2,"Rodentia","Muridae",1,3
"276","Melursus_ursinus",93.13,0.823336217636246,1,"Carnivora","Ursidae",4,3
"277","Mephitis_mephitis",2.085,0.738564621525175,1,"Carnivora","Mustelidae",1,3
"278","Meriones_crassus",0.0699,0.657221732117165,3,"Rodentia","Muridae",3,1
"279","Mesembriomys_gouldii",0.7165,0.647987826245528,3,"Rodentia","Muridae",1,2
"280","Mesocricetus_brandti",0.198,0.585338031447016,3,"Rodentia","Muridae",5,1
"281","Metachirus_nudicaudatus",0.375,0.635044648822274,3,"Didelphimorphia","Didelphidae",1,2
"282","Microcebus_murinus",0.069,0.632472142912213,3,"Primates","Cheirogaleidae",2,2
"283","Microdipodops_megacephalus",0.0105,0.580285281643994,2,"Rodentia","Heteromyidae",3,1
"284","Microgale_cowani",0.0138,0.670537289091315,1,"Insectivora","Tenrecidae",1,3
"285","Micromys_minutus",0.006,0.597374675284563,3,"Rodentia","Muridae",4,2
"286","Microsciurus_alfari",0.0875,0.586063550899791,2,"Rodentia","Sciuridae",2,2
"287","Microtus_agrestis",0.0425,0.640109690930785,2,"Rodentia","Muridae",1,1
"288","Microtus_pennsylvanicus",0.0368,0.511585966722611,2,"Rodentia","Muridae",4,1
"289","Microtus_pinetorum",0.0263,0.604051052428077,2,"Rodentia","Muridae",1,1
"290","Monodelphis_adusta",0.035,0.570876500493805,3,"Didelphimorphia","Didelphidae",2,2
"291","Monodelphis_brevicaudata",0.0696,0.696854879143088,3,"Didelphimorphia","Didelphidae",2,2
"292","Moschiola_meminna",2.93815,0.751888751875929,2,"Artiodactyla","Tragulidae",1,3
"293","Moschus_chrysogaster",14.5,0.776861670585938,2,"Artiodactyla","Moschidae",5,3
"294","Muntiacus_muntjak",14,0.85754910637785,2,"Artiodactyla","Cervidae",1,3
"295","Mus_musculus",0.0176667,0.585453204777079,3,"Rodentia","Muridae",4,1
"296","Mustela_eversmannii",1.35,0.664076652750583,1,"Carnivora","Mustelidae",4,1
"297","Mustela_nivalis",0.1039,0.544114671937339,1,"Carnivora","Mustelidae",1,1
"298","Myoprocta_acouchy",0.6,0.623650993733612,2,"Rodentia","Dasyproctidae",1,1
"299","Myrmecobius_fasciatus",0.4715,0.709695222624789,2,"Dasyuromorphia","Myrmecobiidae",1,1
"300","Myrmecophaga_tridactyla",22.3332,0.823993458639521,1,"Xenarthra","Myrmecophagidae",1,3
"301","Nandinia_binotata",2,0.774934655436316,1,"Carnivora","Viverridae",1,2
"302","Napaeozapus_insignis",0.0223,0.536494978015067,1,"Rodentia","Dipodidae",1,3
"303","Nasalis_larvatus",9,0.768780653497648,3,"Primates","Cercopithecidae",2,2
"304","Nasua_narica",4.03,0.798818199568219,1,"Carnivora","Procyonidae",2,2
"305","Nasuella_olivacea",1.34,0.784583784717176,1,"Carnivora","Procyonidae",2,2
"306","Neacomys_spinosus",0.019,0.608311697015061,3,"Rodentia","Muridae",1,3
"307","Neofelis_nebulosa",19.67575,0.795133665903763,1,"Carnivora","Felidae",2,3
"308","Neomys_anomalus",0.016,0.629200267332815,1,"Insectivora","Soricidae",1,3
"309","Neotoma_albigula",0.206,0.661276432552821,2,"Rodentia","Muridae",1,1
"310","Neotoma_lepida",0.1637,0.557321906053956,2,"Rodentia","Muridae",1,3
"311","Neotragus_batesi",3,0.79227130457415,2,"Artiodactyla","Bovidae",1,3
"312","Neotragus_pygmaeus",4,0.75139470894465,2,"Artiodactyla","Bovidae",1,3
"313","Nesomys_rufus",0.1625,0.520823229137017,1,"Rodentia","Muridae",1,2
"314","Ningaui_ridei",0.0085,0.675124233730667,1,"Dasyuromorphia","Dasyuridae",3,1
"315","Notomys_alexis",0.035,0.54507062853998,3,"Rodentia","Muridae",3,2
"316","Notomys_cervinus",0.035,0.583775128237424,3,"Rodentia","Muridae",3,1
"317","Nycticebus_coucang",0.8035,0.690175579021433,3,"Primates","Loridae",2,2
"318","Ochotona_alpina",0.15,0.560331953192106,2,"Lagomorpha","Ochotonidae",5,3
"319","Ochotona_roylei",0.26,0.555468354026293,2,"Lagomorpha","Ochotonidae",3,3
"320","Octodon_degus",0.21,0.612856188561911,2,"Rodentia","Octodontidae",1,1
"321","Odocoileus_hemionus",54.2126,0.857502265469501,2,"Artiodactyla","Cervidae",4,3
"322","Odocoileus_virginianus",55.5086,0.870382526725087,2,"Artiodactyla","Cervidae",4,3
"323","Oecomys_bicolor",0.034,0.569501920573753,3,"Rodentia","Muridae",2,2
"324","Oenomys_hypoxanthus",0.09,0.628620711653904,2,"Rodentia","Muridae",4,2
"325","Okapia_johnstoni",230.0011,0.929321521684991,2,"Artiodactyla","Giraffidae",1,3
"326","Oligoryzomys_nigripes",0.0205,0.592105953837159,3,"Rodentia","Muridae",4,3
"327","Oncifelis_geoffroyi",3.59,0.840709610984637,1,"Carnivora","Felidae",2,3
"328","Onychogalea_fraenata",5.5,0.70203248190172,2,"Diprotodontia","Macropodidae",3,3
"329","Onychomys_torridus",0.025,0.568340918689893,2,"Rodentia","Muridae",3,1
"330","Oreamnos_americanus",72.5003,0.873732642491806,2,"Artiodactyla","Bovidae",5,3
"331","Orycteropus_afer",52.3504,0.807572650545314,1,"Tubulidentata","Orycteropodidae",1,1
"332","Oryctolagus_cuniculus",1.8267,0.693949484213277,2,"Lagomorpha","Leporidae",4,3
"333","Oryzomys_alfaroi",0.0333,0.635513153267374,3,"Rodentia","Muridae",4,2
"334","Otolemur_crassicaudatus",1.5,0.69831675318871,3,"Primates","Galagonidae",2,2
"335","Otomys_irroratus",0.1018,0.601041165337629,2,"Rodentia","Muridae",1,1
"336","Ototylomys_phyllotis",0.12,0.570021263085501,2,"Rodentia","Muridae",2,2
"337","Ovibos_moschatus",340.50105,0.838281949483093,2,"Artiodactyla","Bovidae",5,3
"338","Ovis_ammon",180,0.842523474329295,2,"Artiodactyla","Bovidae",5,3
"339","Ovis_canadensis",74.6449,0.892425760754451,2,"Artiodactyla","Bovidae",5,3
"340","Oxymycterus_rufus",0.0754,0.574877116784581,1,"Rodentia","Muridae",4,3
"341","Pachyuromys_duprasi",0.0475,0.550294735074147,2,"Rodentia","Muridae",3,2
"342","Paguma_larvata",4.3,0.821188566867393,1,"Carnivora","Viverridae",2,2
"343","Pan_paniscus",34.0001,0.822970783359317,3,"Primates","Hominidae",2,2
"344","Pan_troglodytes",44.9997,0.823738891462988,3,"Primates","Hominidae",2,2
"345","Panthera_leo",161.4991,0.834745065719191,1,"Carnivora","Felidae",4,3
"346","Panthera_onca",100,0.800831914546408,1,"Carnivora","Felidae",1,3
"347","Panthera_pardus",52.038,0.793798801461336,1,"Carnivora","Felidae",4,3
"348","Panthera_tigris",162.564,0.831660694441971,1,"Carnivora","Felidae",1,3
"349","Papio_hamadryas",21.2501,0.876327556654193,2,"Primates","Cercopithecidae",5,3
"350","Paradoxurus_hermaphroditus",3.156675,0.750782923662204,1,"Carnivora","Viverridae",2,2
"351","Parahyaena_brunnea",32.2003,0.864950252557731,1,"Carnivora","Hyaenidae",3,3
"352","Parantechinus_apicalis",0.0688,0.591604952746092,1,"Dasyuromorphia","Dasyuridae",1,2
"353","Paraxerus_ochraceus",0.1043,0.575653767281873,3,"Rodentia","Sciuridae",4,2
"354","Parotomys_brantsii",0.1295,0.658316194776358,2,"Rodentia","Muridae",4,1
"355","Pedetes_capensis",3.155,0.666769391124281,2,"Rodentia","Pedetidae",4,3
"356","Perameles_bougainville",0.226,0.634324130961899,1,"Peramelemorphia","Peramelidae",4,1
"357","Perameles_nasuta",0.975,0.602833476282238,1,"Peramelemorphia","Peramelidae",4,1
"358","Perodicticus_potto",1.1,0.680252789707565,3,"Primates","Loridae",2,2
"359","Perognathus_longimembris",0.0076,0.59565891683588,2,"Rodentia","Heteromyidae",3,1
"360","Perognathus_parvus",0.0218,0.523739176146598,2,"Rodentia","Heteromyidae",3,1
"361","Peromyscus_attwateri",0.0279,0.577246037839757,2,"Rodentia","Muridae",1,3
"362","Peromyscus_crinitus",0.018,0.5048003632185,3,"Rodentia","Muridae",3,1
"363","Peromyscus_eremicus",0.0236,0.534896123710725,3,"Rodentia","Muridae",3,1
"364","Peromyscus_leucopus",0.0212,0.592448969275186,3,"Rodentia","Muridae",1,1
"365","Peromyscus_maniculatus",0.0213,0.589076491291973,3,"Rodentia","Muridae",2,2
"366","Peromyscus_truei",0.0274,0.59014930679762,3,"Rodentia","Muridae",3,3
"367","Petaurista_elegans",0.997,0.460174267329406,2,"Rodentia","Sciuridae",3,2
"368","Petauroides_volans",1.3,0.568476704217067,2,"Diprotodontia","Psuedocheiridae",2,2
"369","Petaurus_breviceps",0.1063,0.639685373984949,3,"Diprotodontia","Petauridae",2,2
"370","Petrodromus_tetradactylus",0.1875,0.641823989047552,1,"Macroscelidea","Macroscelididae",1,3
"371","Petrogale_burbidgei",1.258,0.645973632198852,2,"Diprotodontia","Macropodidae",1,3
"372","Petromus_typicus",0.224,0.539097483770892,2,"Rodentia","Petromuridae",5,3
"373","Phacochoerus_aethiopicus",71.0003,0.855371791527933,2,"Artiodactyla","Suidae",3,3
"374","Phalanger_orientalis",2.16875,0.586641504652233,2,"Diprotodontia","Phalangeridae",2,2
"375","Phaner_furcifer",0.4,0.552244778542032,2,"Primates","Cheirogaleidae",2,2
"376","Phascogale_calura",0.0515,0.596773006276983,1,"Dasyuromorphia","Dasyuridae",2,2
"377","Philander_andersoni",0.325,0.701798275734635,3,"Didelphimorphia","Didelphidae",2,2
"378","Pithecia_pithecia",1.3755,0.639029167118939,2,"Primates","Cebidae",2,2
"379","Planigale_maculata",0.011,0.661204467479107,1,"Dasyuromorphia","Dasyuridae",4,3
